id,organisation,category,careers_homepage,listings_url,apply_url_pattern,ats_platform,js_required,playwright_required,feed_or_api,jsonld_jobposting,est_active_vacancies,pagination_method,anti_bot,import_priority,connector_type,confidence,notes
absa,Absa Group,bank,https://www.absa.africa/careers/,https://absa.wd3.myworkdayjobs.com/Absa_Careers,https://absa.wd3.myworkdayjobs.com/Absa_Careers/job/{id},workday,yes,no,workday_cxs_json,no,200-600,offset (Workday CXS jobs endpoint limit/offset),low,High,workday,verified,"WEB-VERIFIED Workday tenant host absa.wd3.myworkdayjobs.com. CXS: POST /wday/cxs/absa/{site}/jobs. Confirm {site} slug on build. ~186 open roles observed."
standard_bank,Standard Bank Group,bank,https://careers.standardbank.com/,https://www.standardbank.com/sbg/standard-bank-group/careers/apply/jobs/,https://jobs.smartrecruiters.com/StandardBankGroup/{id},smartrecruiters,no,no,smartrecruiters_api,yes,400-800,api paging (limit/offset),low,High,smartrecruiters,verified,"WEB-VERIFIED: Standard Bank states it partnered with SmartRecruiters for applications. Confirm company token (StandardBankGroup) on build. Public postings API keyless."
nedbank,Nedbank,bank,https://group.nedbank.co.za/careers.html,https://jobs.nedbank.co.za/search/,https://jobs.nedbank.co.za/job/{id},successfactors,yes,maybe,successfactors_career_site,maybe,200-400,SF career-site paging,medium,High,successfactors,high,"WEB-VERIFIED career host jobs.nedbank.co.za with SF URL pattern (/go/,/job/,category IDs). SAP SuccessFactors career site. Prefer JSON-LD/structured_html if detail pages embed JobPosting."
fnb_firstrand,FirstRand / FNB,bank,https://www.firstrand.co.za/careers/,TBD,TBD,unknown,yes,maybe,unknown,unknown,300-600,unknown,unknown,High,firecrawl_ai,medium,"FirstRand group (FNB, RMB, WesBank). ATS unconfirmed; inspect listings on build."
capitec,Capitec Bank,bank,https://www.capitecbank.co.za/about-us/careers/,https://careers.capitecbank.co.za/,TBD,custom,yes,maybe,unknown,maybe,100-250,portal paging,medium,High,firecrawl_ai,likely,"WEB-VERIFIED dedicated portal careers.capitecbank.co.za (subdomain). ATS engine not confirmed; check for JSON-LD/API on build. Largest SA retail bank by clients."
investec,Investec,bank,https://www.investec.com/en_za/careers.html,TBD,TBD,workday,yes,no,workday_cxs_json,no,100-250,offset,low,Medium,workday,medium,"Large multinational; Workday likely. Verify tenant/site."
african_bank,African Bank,bank,https://www.africanbank.co.za/en/home/careers/,TBD,TBD,unknown,yes,maybe,unknown,unknown,50-150,unknown,medium,Medium,firecrawl_ai,medium,"Retail bank; ATS unconfirmed."
bidvest_bank,Bidvest Bank,bank,https://www.bidvestbank.co.za/careers.php,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,medium,Low,firecrawl_ai,medium,"Niche bank; small headcount."
discovery,Discovery Limited,financial,https://www.discovery.co.za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,200-400,unknown,medium,High,successfactors,medium,"Insurer/bank/health; SuccessFactors likely. Verify tenant."
oldmutual,Old Mutual,financial,https://www.oldmutual.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,200-400,unknown,medium,High,successfactors,medium,"Likely SuccessFactors."
momentum_mmh,Momentum Metropolitan Holdings,financial,https://www.momentummetropolitan.co.za/en/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-350,unknown,medium,Medium,successfactors,medium,"Large insurer group; SuccessFactors likely."
sanlam,Sanlam,financial,https://www.sanlam.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-350,unknown,medium,High,successfactors,medium,"Likely SuccessFactors."
santam,Santam,financial,https://www.santam.co.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,80-200,unknown,medium,Medium,successfactors,medium,"Short-term insurer (Sanlam group)."
liberty,Liberty Holdings,financial,https://www.liberty.co.za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,80-200,unknown,medium,Medium,successfactors,medium,"Insurer (Standard Bank group)."
hollard,Hollard Insurance,financial,https://www.hollard.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,50-150,unknown,medium,Medium,firecrawl_ai,medium,"Private insurer; ATS unconfirmed."
outsurance,OUTsurance,financial,https://www.outsurance.co.za/careers/,https://careers.smartrecruiters.com/OUTsurance,https://jobs.smartrecruiters.com/OUTsurance/{id},smartrecruiters,no,no,smartrecruiters_api,yes,50-150,api paging (limit/offset),low,High,smartrecruiters,verified,"WEB-VERIFIED on SmartRecruiters. api.smartrecruiters.com/v1/companies/OUTsurance/postings. Keyless, no JS."
coronation,Coronation Fund Managers,financial,https://www.coronation.com/en/institutional/about-us/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,10-40,unknown,low,Low,firecrawl_ai,medium,"Asset manager; small headcount."
